test_subject,jump_nr,landing,trial,lower_back_jump_height,lower_back_tof,shin_jump_height,shin_tof,chest_jump_height,chest_tof,thigh_jump_height,thigh_tof,video_jump_height,video_tof
10,5,Competition,Near max,3.090694892446553,1.2620003220000626,3.417877035949867,1.3637497420000955,3.3261179223190904,1.3359999649999281,3.062215480464582,1.2527503960000104,3.003,1.317
10,6,Competition,Near max,2.8957656581270643,1.1972501279999506,3.265997442998516,1.3174998760000562,3.2362528030553452,1.3082497120000198,3.1482846224438714,1.2804996959999926,2.975,1.283
10,8,Soft pit,Sub max,3.3870808818230485,1.3545000560000062,1.4843428816343383,0.5202498430001015,3.0906934183850683,1.2619998449999912,3.2362535656533393,1.3082499500001177,3.247,1.308
10,10,Soft pit,Near max,1.2943613152033029,0.2881247989998883,1.3757776071583954,0.4172503949998827,3.4212196296416035,1.3647499080000216,3.299202717658943,1.32774973100004,3.159,1.333
10,11,Soft pit,Near max,3.361439040826218,1.3467497829999502,1.2916831130007944,0.27824997900006565,3.066434749295565,1.2541251189998093,3.2398593879203927,1.3093748089997916,3.175,1.325
10,12,Semi in Soft pit,Sub max,3.295952750994416,1.3267500400002064,2.3266834124807247,0.9838752750001731,3.2959535244319818,1.3267502779999631,2.895765658126398,1.1972501279997232,3.096,1.308
10,13,Semi in Soft pit,Sub max,3.265997442998516,1.3174998760000562,1.3850872688536864,0.42749953200018354,3.2684193425713763,1.3182501799997226,3.2091073324753556,1.2997500900000887,3.097,1.3
10,14,Semi in Soft pit,Near max,2.920026105122685,1.205499649000103,3.295952750994416,1.3267500400002064,3.326117925590823,1.3359999659996902,3.1773986319429217,1.2897503369999868,3.142,1.308
10,16,Semi in Soft pit,Near max,3.1193858563243446,1.2712504859996443,3.543171801155058,1.4007499220001591,3.4771421011002004,1.3813750740000614,3.387080878505792,1.3545000550002442,3.264,1.358
11,1,Competition,Sub max,2.894545730820595,1.1870000369999971,3.2298466899297864,1.297250032000008,3.260140396312341,1.3067500590000023,3.200564067211018,1.288000107000009,2.916,1.292
11,2,Competition,Sub max,3.2681495245581225,1.3092501170000048,3.327894262454926,1.3277502060000046,3.327894262454926,1.3277502060000046,3.2681495245581225,1.3092501170000048,2.958,1.308
11,4,Competition,Near max,3.7705789303331843,1.4574997419999818,3.771025983625459,1.4576249120000284,3.4166000120832,1.3547499179999818,3.7044885940267047,1.438874960000021,3.383,1.442
11,5,Competition,Near max,3.7332156316921257,1.4470000270000014,3.7005243292353134,1.437750101000006,3.415770878505038,1.3545000550000168,3.668041776571961,1.4284996989999854,3.482,1.442
11,6,Soft pit,Sub max,3.447820122364911,1.3641247749999366,1.440709579476219,0.45525002399995174,3.4792573102553783,1.3734998699999323,1.490892618513427,0.5014998909999804,3.182,1.317
11,7,Soft pit,Sub max,3.44656703929026,1.3637497429999712,3.3548079223190905,1.3359999649999281,3.206086376678572,1.2897496230000343,3.354807925591567,1.3359999659999175,3.134,1.342
11,8,Soft pit,Near max,3.571860980944219,1.4007496830000719,3.4775761425210385,1.3730001449999918,3.57186098094383,1.4007496829999582,3.603710511208601,1.4099996089998967,3.595,1.475
11,9,Soft pit,Near max,3.506254912374385,1.381500006000124,6.996039836872427,2.1807501319999574,3.9034907677449207,1.4942502970000078,3.7696883458671238,1.4572503560000314,3.678,1.45
11,10,Semi in Soft pit,Sub max,2.9273873349441812,1.1982500550000168,3.268149521351228,1.3092501159999301,3.358082204455127,1.3370001299999785,3.1801129747463337,1.2815001010001197,2.992,1.3
11,11,Semi in Soft pit,Sub max,3.3548079255923113,1.335999966000145,1.4502278659256467,0.46449971199990614,3.385595414701184,1.3453748230001565,3.2637428265744077,1.3078751560001365,3.239,1.325
11,12,Semi in Soft pit,Near max,3.415770088810377,1.3544998170000326,3.7992302772065525,1.4655001160001575,3.4775753386273562,1.3729999059999045,3.700524329235714,1.4377501010001197,3.574,1.458
